11101 Landwirtschaft (o.S.) - Helfer;42003;2142,6875;2509,752726;2961,508772;11101;Landwirtschaft (o.S.) - Helfer;1
11102 Landwirtschaft (o.S.) - Fachkraft;22523;2301,329312;2636,818553;3086,828125;11102;Landwirtschaft (o.S.) - Fachkraft;2
11501 Tierpflege (o.S.) - Helfer;1980;2088,939306;2382,109195;2836,026316;11501;Tierpflege (o.S.) - Helfer;3
11522 Haus-, Zootierpflege - Fachkraft;3761;2245,905983;2722,539474;3424,631944;11522;Haus-, Zootierpflege - Fachkraft;4
11593 Aufsicht - Tierpflege;67;X;X;X;11593;Aufsicht - Tierpflege;5
12101 Gartenbau (o.S.) - Helfer;59484;2252,560844;2640,60181;3163,927857;12101;Gartenbau (o.S.) - Helfer;6
12102 Berufe im Gartenbau (o.S.) - Fachkraft;35030;2731,32483;3354,135347;3824,140297;12102;Berufe im Gartenbau (o.S.) - Fachkraft;7
12103 Berufe im Gartenbau (o.S.) - Spezialist;1139;3115,631579;3989,041667;5108,535714;12103;Berufe im Gartenbau (o.S.) - Spezialist;8
22101 Kunststoff-,Kautschukherst. (oS.)-Helfer;90296;2261,811693;2672,680294;3210,664835;22101;Kunststoff-,Kautschukherst. (oS.)-Helfer;9
22102 Kunststoff-,Kautschukherst(oS)-Fachkraft;85560;2869,944444;3459,320486;4097,283417;22102;Kunststoff-,Kautschukherst(oS)-Fachkraft;10
22301 Holzbe-, -verarbeitung (o.S.) - Helfer;28435;2345,365486;2781,833739;3349,177386;22301;Holzbe-, -verarbeitung (o.S.) - Helfer;11
22342 Holz-, Möbel-, Innenausbau - Fachkraft;109449;2669,245771;3105,997033;3556,141497;22342;Holz-, MÃ¶bel-, Innenausbau - Fachkraft;12
22343 Holz-, Möbel-, Innenausbau - Spezialist;2501;2984,808511;3732,642857;4652,375;22343;Holz-, MÃ¶bel-, Innenausbau - Spezialist;13
23222 Grafik-Kommunikat.,Fotodesign-Fachkraft;3370;2866;3518,809859;4460,282609;23222;Grafik-Kommunikat.,Fotodesign-Fachkraft;14
23224 Grafik-Kommunikat.,Fotodesign-Experte;15667;2969,269592;3685,775424;4808,520833;23224;Grafik-Kommunikat.,Fotodesign-Experte;15
23322 Fotografie - Fachkraft;3372;2247,797297;2941,240741;3798,227273;23322;Fotografie - Fachkraft;16
24201 Metallbearbeitung (o.S.) - Helfer;203727;2397,697322;2959,598444;3642,575893;24201;Metallbearbeitung (o.S.) - Helfer;17
24202 Metallbearbeitung (o.S.) - Fachkraft;115268;3129,557072;3865,507657;4679,497195;24202;Metallbearbeitung (o.S.) - Fachkraft;18
24232 Spanende Metallbearbeitung - Fachkraft;140217;3274,192708;3922,687162;4654,076098;24232;Spanende Metallbearbeitung - Fachkraft;19
24233 Spanende Metallbearbeitung - Spezialist;13764;3499,944444;4332,807692;5242,758065;24233;Spanende Metallbearbeitung - Spezialist;20
24411 Metallbau - Helfer;39287;2560,81457;3273,660377;4495,848485;24411;Metallbau - Helfer;21
24412 Metallbau - Fachkraft;156092;2901,678696;3442,302575;4100,257923;24412;Metallbau - Fachkraft;22
24413 Metallbau - Spezialist;3096;3810,5;4800,5;6335,916667;24413;Metallbau - Spezialist;23
24514 Feinwerktechnik - Experte;1099;4935,321429;6198,227273;> 7.100;24514;Feinwerktechnik - Experte;24
24523 Werkzeugtechnik - Spezialist;4968;4051,235294;4871,712121;6005,628205;24523;Werkzeugtechnik - Spezialist;25
25102 Maschinenbau-,Betriebstech(oS)-Fachkraft;239833;3571,88032;4223,700289;4977,049919;25102;Maschinenbau-,Betriebstech(oS)-Fachkraft;26
25103 Maschinenbau,Betriebstech(oS)-Spezialist;49677;4231,343899;5217,035777;6519,421446;25103;Maschinenbau,Betriebstech(oS)-Spezialist;27
25112 Maschinen,Gerätezusammensetzer-Fachkraft;170415;2852,995155;3628,995241;4511,007353;25112;Maschinen,GerÃ¤tezusammensetzer-Fachkraft;28
25122 Maschinen-, Anlagenführer - Fachkraft;198752;3077,39113;3749,54661;4571,344812;25122;Maschinen-, AnlagenfÃ¼hrer - Fachkraft;29
25132 Tech.Servicekr.Wartung,Instand-Fachkraft;169153;3571,292132;4451,567342;5531,648473;25132;Tech.Servicekr.Wartung,Instand-Fachkraft;30
25133 TechServicekr.Wartung,Instand-Spezialist;38367;3967,350105;5051,144028;6362,028269;25133;TechServicekr.Wartung,Instand-Spezialist;1
25212 Kraftfahrzeugtechnik - Fachkraft;242031;2814,021021;3412,318484;4361,950147;25212;Kraftfahrzeugtechnik - Fachkraft;2
25252 Zweiradtechnik - Fachkraft;12391;2324,051081;2650,098624;3039,032448;25252;Zweiradtechnik - Fachkraft;3
25293 Aufsicht-FahrzeugLuftRaumf.Schiffbautech;27563;3467,028698;4202,261364;5294,17284;25293;Aufsicht-FahrzeugLuftRaumf.Schiffbautech;4
26212 Bauelektrik - Fachkraft;174096;3022,767793;3566,689719;4303,144347;26212;Bauelektrik - Fachkraft;5
26213 Bauelektrik - Spezialist;1585;3459,354167;4131,951613;4802,84375;26213;Bauelektrik - Spezialist;6
26233 Energie-, Kraftwerkstechnik - Spezialist;15019;4088,438596;5219,39881;6549,272321;26233;Energie-, Kraftwerkstechnik - Spezialist;7
26243 Regenerative Energietechnik - Spezialist;6327;3024,633663;3711,185484;4634,336207;26243;Regenerative Energietechnik - Spezialist;8
26301 Elektrotechnik (o.S.) - Helfer;100310;2423,496183;2881,399114;3524,130918;26301;Elektrotechnik (o.S.) - Helfer;9
26302 Elektrotechnik (o.S.) - Fachkraft;40634;3174,689985;3863,450139;4743,766979;26302;Elektrotechnik (o.S.) - Fachkraft;10
26303 Elektrotechnik (o.S.) - Spezialist;45585;4114,591376;5170,801095;6458,454545;26303;Elektrotechnik (o.S.) - Spezialist;11
26312 Inform-,Telekommunikationst.-Fachkraft;97681;3365,529183;4193,610676;5200,119367;26312;Inform-,Telekommunikationst.-Fachkraft;12
26313 Inform-,Telekommunikationst.-Spezialist;32185;4256,44697;5442,236111;6704,29393;26313;Inform-,Telekommunikationst.-Spezialist;13
27104 Techn.Forschung,Entwickl.(oS)-Experte;205856;5405,087405;6744,683792;> 7.100;27104;Techn.Forschung,Entwickl.(oS)-Experte;14
27302 Tech.Produktionspl.,-steuerung-Fachkraft;51383;4100,117117;5038,940197;5866,495179;27302;Tech.Produktionspl.,-steuerung-Fachkraft;15
27303 Tech.Produktionspl.,steuerung-Spezialist;109844;4161,277244;5238,699013;6594,067568;27303;Tech.Produktionspl.,steuerung-Spezialist;16
27312 Technische Qualitätssicherung-Fachkraft;98451;3148,244898;4105,488263;5187,058693;27312;Technische QualitÃ¤tssicherung-Fachkraft;17
27313 Technische Qualitätssicherung-Spezialist;47992;4065,12963;5086,102094;6400,068966;27313;Technische QualitÃ¤tssicherung-Spezialist;18
27393 Aufsicht-Techn.Produktionsplan.,-steuer.;63704;4002,722222;5211,65917;6885,153465;27393;Aufsicht-Techn.Produktionsplan.,-steuer.;19
27394 Führung- Techn.Produktionsplan.,-steuer.;78966;4868,857271;6583,774648;> 7.100;27394;FÃ¼hrung- Techn.Produktionsplan.,-steuer.;20
29201 Lebensmittelherstellung (o.S.) - Helfer;89783;2234,968298;2586,037933;3076,615928;29201;Lebensmittelherstellung (o.S.) - Helfer;21
29222 Back-, Konditoreiwarenherst.-Fachkraft;44719;2350,526353;2720,52338;3161,104794;29222;Back-, Konditoreiwarenherst.-Fachkraft;22
29232 Fleischverarbeitung - Fachkraft;55764;2338,768999;2704,863208;3183,772395;29232;Fleischverarbeitung - Fachkraft;23
29293 Aufsicht-Lebens-,Genussmittelherstellung;7743;2937,710983;3568,957944;4641,598485;29293;Aufsicht-Lebens-,Genussmittelherstellung;24
29301 Köche/Köchinnen (o.S.) - Helfer;95042;2088,11425;2325,23306;2668,652791;29301;KÃ¶che/KÃ¶chinnen (o.S.) - Helfer;25
29302 Köche/Köchinnen (o.S.) - Fachkraft;128927;2345,673481;2749,532136;3244,008096;29302;KÃ¶che/KÃ¶chinnen (o.S.) - Fachkraft;26
29394 Führung - Speisenzubereitung;5467;3368,035971;3950,711864;4723,106383;29394;FÃ¼hrung - Speisenzubereitung;27
31114 Architektur - Experte;55972;3618,049261;4551,019931;5969,278802;31114;Architektur - Experte;28
31124 Stadt- und Raumplanung - Experte;5835;4063,847458;4902,144737;5998,25641;31124;Stadt- und Raumplanung - Experte;29
32101 Hochbau (o.S.) - Helfer;128897;2370,24674;2817,457178;3299,596548;32101;Hochbau (o.S.) - Helfer;30
32102 Hochbau (o.S.) - Fachkraft;47348;2879,945074;3488,806064;4100,386621;32102;Hochbau (o.S.) - Fachkraft;1
32103 Hochbau (o.S.) - Spezialist;4803;4189,639344;4946,4375;5868,580357;32103;Hochbau (o.S.) - Spezialist;2
32193 Aufsicht - Hochbau;21702;3999,641221;4958,833333;6135,5;32193;Aufsicht - Hochbau;3
33101 Bodenverlegung (o.S.) - Helfer;6001;2389,81962;2804,865079;3277,380531;33101;Bodenverlegung (o.S.) - Helfer;4
33112 Fliesen-Platten-,Mosaikverleg.-Fachkraft;21956;2914,041667;3364,975743;3832,748521;33112;Fliesen-Platten-,Mosaikverleg.-Fachkraft;5
33193 Aufsicht - Bodenverlegung;875;3214,923077;3916,571429;4780,857143;33193;Aufsicht - Bodenverlegung;6
34102 Gebäudetechnik (o.S.) - Fachkraft;190243;2589,891334;3188,337358;3736,871013;34102;GebÃ¤udetechnik (o.S.) - Fachkraft;7
34103 Gebäudetechnik (o.S.) - Spezialist;18063;3249,326861;3920,45114;4780,753623;34103;GebÃ¤udetechnik (o.S.) - Spezialist;8
34212 Sanitär,Heizung,Klimatechnik - Fachkraft;138689;2997,288721;3528,053286;4097,938565;34212;SanitÃ¤r,Heizung,Klimatechnik - Fachkraft;9
34213 Sanitär,Heizung,Klimatechnik -Spezialist;7155;3343,375;4115,358491;5105,605634;34213;SanitÃ¤r,Heizung,Klimatechnik -Spezialist;10
34301 Ver- und Entsorgung (o.S.) - Helfer;45291;2754,005587;3294,144393;3718,597015;34301;Ver- und Entsorgung (o.S.) - Helfer;11
34302 Ver- und Entsorgung (o.S.) - Fachkraft;9207;3483,629371;4138,561798;4906,854167;34302;Ver- und Entsorgung (o.S.) - Fachkraft;12
41311 Chemie- und Pharmatechnik - Helfer;57608;2669,477384;3398,408922;4081,534483;41311;Chemie- und Pharmatechnik - Helfer;13
41312 Chemie- und Pharmatechnik - Fachkraft;85425;3894,279952;4698,423018;5659,274563;41312;Chemie- und Pharmatechnik - Fachkraft;14
43102 Informatik (o.S.) - Fachkraft;85511;3716,957447;4748,704105;6296,943782;43102;Informatik (o.S.) - Fachkraft;15
43104 Informatik (o.S.) - Experte;22939;4967,818702;6213,378788;> 7.100;43104;Informatik (o.S.) - Experte;16
43194 Führung - Informatik;2721;> 7.100;> 7.100;> 7.100;43194;FÃ¼hrung - Informatik;17
